Scenario, Points, Time
ComputeDistanceTensorflow, 5000, 0.63
ComputeDistanceNumpy, 5000, 1.78
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.89
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 1000, 0.07
ComputeDistanceTensorflow, 4000, 0.18
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.30
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 2000, 0.04
ComputeDistanceNumpy, 2000, 0.29
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.65
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.80
ComputeDistanceTensorflow, 2000, 0.01
ComputeDistanceNumpy, 2000, 0.27
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.65
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.79
ComputeDistanceTensorflow, 2000, 0.01
ComputeDistanceNumpy, 2000, 0.28
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.65
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.23
ComputeDistanceNumpy, 5000, 1.79
ComputeDistanceTensorflow, 2000, 0.01
ComputeDistanceNumpy, 2000, 0.28
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.65
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.24
ComputeDistanceNumpy, 5000, 1.78
ComputeDistanceTensorflow, 2000, 0.01
ComputeDistanceNumpy, 2000, 0.28
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.65
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.24
ComputeDistanceNumpy, 5000, 1.83
ComputeDistanceTensorflow, 2000, 0.01
ComputeDistanceNumpy, 2000, 0.28
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.65
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.16
ComputeDistanceTensorflow, 5000, 0.24
ComputeDistanceNumpy, 5000, 1.78
ComputeDistanceTensorflow, 2000, 0.02
ComputeDistanceNumpy, 2000, 0.28
ComputeDistanceTensorflow, 3000, 0.09
ComputeDistanceNumpy, 3000, 0.64
ComputeDistanceTensorflow, 1000, 0.01
ComputeDistanceNumpy, 1000, 0.06
ComputeDistanceTensorflow, 4000, 0.15
ComputeDistanceNumpy, 4000, 1.15
ComputeDistanceTensorflow, 5000, 0.24
ComputeDistanceNumpy, 5000, 1.79
ComputeDistanceTensorflow, 2000, 0.02
